question,answer
"Welches Ziel hat sich die sog. neue"" Verwaltungsrechtswissenschaft gesetzt?""","Aufgrund der soeben beschriebenen Entwicklung (Vollzugsdefizite, Kooperationsmodelle), hat sich die neue Verwaltungsrechtswissenschaft zur Aufgabe gemacht von der rechtsaktbezogenen Betrachtungsweise hin zu einer problemorientierten Ansehung der Verwaltungsrechtswissenschaft. Der hinzutretende Kostendruck sowie die Standortnachteile im globalisierten Wettbewerb sowie aufgrund der Europäisierung des Verwaltungsrechts, schufen Reformbedarf, dem sich dieser neue Zweig der Verwaltungsrechtswissenschaft annahm.Um diese Reformen umzusetzen, müssen neue ﻿Handlungsformen und -maßstäbe, Entscheidungsverfahren Organisationstypen und Regulierungsstrategien ﻿entwickelt werden. "
Welche Reformbereiche sind in der neuen Verwaltungsrechtswissenschaft anerkannt?,"Die neue Verwaltungsrechtswissenschaft hat drei maßgebliche Reformbereiche ausgemacht, denen dadurch ein rechtlicher Rahmen gesetzt werden muss: Privatisierung Effizienzbestrebungen Internationalisierung  Zusammengefasst heißt das, dass sich die Verwaltungsrechtswissenschaft von einer ﻿anwendungsbezogenen Interpretationswissenschaft ﻿hin zu einer ﻿rechtsetzungsorientierten Handlungs- und Entscheidungswissenschaft ﻿entwickeln muss. Es geht um die ﻿Rationalisierung nicht normativer Entscheidungsfaktoren﻿."
Welchen Inhalt hat die in der neuen Verwaltungsrechtswissenschaft vertretene sog. Steuerungstheorie?,"In der Verwaltungsrechtswissenschaft wird ein handlungsorientierter Steuerungsansatz vertreten. Gemeint ist die gezielte Beeinflussung von Systemen: Steuerungsobjekt (auf das eingewirkt wird)Steuerungssubjekt (wirkt ein)Steuerungsinstrumente (Handlungsweisen, mit denen gesteuert werden kann)Steuerungsziel (Ergebnis)  Dieses Modell ist wesentlich vom sog. ﻿Steuerungswissen ﻿abhängig. Dieses ist essentiell für die Wirkungsbeziehung zwischen Steuerungsaktivität und Steuerungsziel. "
Welche Vorteile bietet die sog. Steuerungstheorie?,"Zunächst erlaubt sie auch andere Steuerungsmedien als das Recht in die Betrachtung einzubeziehen. So kann der Markt oder das Personal bei der Betrachtung verarbeitet werdenReaktion auf die Motivations- und Interessenlage der Steuerungsadressaten durch gezielte Handlungsinstrumente, ohne auf die imperativen Ge- und Verbote verwiesen zu sein (Verschwimmen zwischen Steuerungsobjekt und -subjekt)Multidisziplinärer Austausch mit anderen Wissenschaften, die sich mit politischer Steuerung befassen; dies hilft Steuerungsprozess zu optimieren"
Was versteht man unter der Realbereichsanalyse und warum ist sie für die Steuerungstheorie notwendig?,"Die Realbereichsanalyse meint die Befassung mit sozialen, politischen, kulturellen, ökonomischen und ökologischen Wirklichkeitsausschnitt auf den sich die steuerungstheoretisch in Blick genommene Norm bezieht.Ohne eine derartige Analyse, können keine Regelungsdefizite im geltenden Recht aufgedeckt und keine Steuerungsmechanismen für neue Sachprobleme  aufgedeckt werden."
Welche Nachteile gehen mit der neuen Verwaltungsrechtswissenschaft einher?,"Die neue Verwaltungsrechtswissenschaft ist mit verschiedenen Kritikpunkten behaftet: Erstens birgt sie rechtsstaatliche Risiken durch Deregulierung und vermehrte Output-Orientierung Leitbegriffe wie Steuerung oder Governance sind vage und nur schwer greifbar Die neue Wissenschaft orientiert sich zu sehr an Problemen des AT und vernachlässigt das Fachrecht (selektive Auswahl der Referenzgebiete)Probleme bei der Maßstabfindung, wenn die Rechtmäßigkeit in diesem Sinne nicht mehr maßgeblich sein soll"
Was kennzeichnet den Begriff der Effizienz im Verwaltungsverfahren?,"Effizienz lässt sich aus zwei verschiedenen Perspektiven beschreiben: Zielbezogen = Wie viele Ressourcen muss ich einsetzen, um das Ziel zu erreichen (Minimalprinzip) Ressourcenbezogen = Was kann mit den vorhandenen Ressourcen erreicht werden (Maximalprinzip) Die Effizienzdebatte im deutschen Verwaltungsrecht ergab sich insbesondere aus der Europäisierung und Globalisierung sowie dem Bedürfnis bei der Verwirklichung großer Infrastrukturprojekte. Seine normative Verankerung findet dieser Grundsatz in § 10 S. 2 VwVfG."
Welche Grenzen sind dem Effizienzbegriff im Verwaltungsverfahren gesetzt? ,"In erster Linie ist die effiziente Gestaltung des Verfahrensrechts durch die Verfassung verhindert. Denn Verwaltungsrecht ist in erster Linie konkretisiertes Verfassungsrecht. Mithin sind subjektive öffentliche Rechte und Grundrechtsschutz durch Verfahren Aspekte, einer Effizienzsteigerung im Wege stehenZudem geht das Verfahren über den Aspekt der Erzeugung einer richtigen Entscheidung hinaus. Vielmehr ist es auch in der Lage mehr als die Gerichte auf einen zweckmäßigen Interessenausgleich hinzuwirken"
Kann Effizienz ohne weiteres mit Beschleunigung des Verfahrens gleichgesetzt werden?,"Nein! Denn Beschleunigung birgt immer auch die Gefahr der Verfahrensfehlerfolgen, die sich nicht zuletzt auch auf die Sachentscheidung auswirken können. Der insoweit in Anspruch genommene Rechtsschutz verzögert das Verfahren erneut.Zudem ist fraglich, welcher Maßstab im Rechtsstaat an Effizienz zu stellen ist. Es könnte zum einen auf einen rechtmäßigen Prozess oder aber auf ein rechtmäßiges Resultat hingewirkt werden. Es bietet sich daher ein ﻿differenzierter Effizienzbegriff  ﻿an, der sich nicht nur an der Beschleunigung orientiert, sondern Bezug zu den Spezifika des Verfahrens und insbesondere der besonderen Sachthematik nimmt, auf deren Entscheidung hingewirkt wird. So ist etwa die besondere Grundrechtsrelevanz, oder aber die nachträgliche Möglichkeit effektiven Rechtsschutzes (Art. 19 Abs. 4) mit in die Betrachtung einzubeziehen."
Welche Besonderheiten sind im Migrationsrecht im Hinblick auf die Effizienz des Verwaltungsverfahrens zu beachten?,"Aufgrund der existenzbedrohenden Situation der Geflüchteten, ist die Ermittlung der Schutzberechtigung im Asylverfahren von enormer Bedeutung und hat schnell und hinreichend genau zu erfolgen: Schnelle Sicherheit über den Ausgang des Verfahrens Spezifischer Beweisnotstand, sodass eine besonders sorgfältige Prüfung zu erfolgen hat Der verwaltungsgerichtliche Rechtsschutz ist extrem verkürzt (§ 11 AsylG etwa), was den Fokus noch einmal mehr auf das Verwaltungsverfahren lenkt (daher auch besonderer grundrechtlicher Anspruch an eine organisierte Verfahrensweise)"
"Was versteht man unter den zwei Phasen"" des deutschen Verwaltungsrechts seit 1949?""",Die zwei Phasen des deutschen Verwaltungsrechts sind zum einen die Konstitutionalisierung und die Europäisierung des Rechts. Die erste Phase kennzeichnet die Konstitutionalisierung. Sie prägte das subjektive öffentliche Recht durch Ausstrahlwirkung der Grundrechte sowie die Justizialisierung unter Art. 19 Abs. 4 GGDie zweite Phase ist dagegen die Europäisierung. Sie beschreibt die Überformung deutschen Verwaltungsrechts durch positives Recht und Richterrecht in den insoweit determinierten Bereichen
Wie wird eine Europäisierung trotz der mitgliedsstaatlichen Verwaltungsautonomie erreicht?,"Der Union kommt aufgrund des Prinzips der begrenzten Einzelermächtigung grds. keine Verwaltungsautonomie in den Mitgliedstaaten zu, weshalb diese insbesondere über Verwaltungsverfahren und -prozess eigenständig entscheiden. Diese Teilrechtsordnungen tragen maßgeblich zur Umsetzung des (auch unionsrechtlich determinierten) materiellen Rechts bei.Da trotz unionsrechtlich determinierten materiellen Recht die Durchsetzung dennoch aufgrund des der Verwaltungsautonomie unterliegenden Verfahrensrechts scheitern kann, ist aufgrund des Effektivitätsgrundsatzes aus Art. 4 EUV eine Überformung auch des Verfahrensrechts möglich. Entscheidend bleibt also die Charakteristik des Verfahrensrechts als Verwirklichungsrecht"". """
Welche dogmatischen Begründungsansätze lassen sich für die Überformung des deutschen Verfahrensrechts vertreten?,"﻿Zum einen ﻿sicherlich der Effet utile und damit die Gewährleistung der gleichmäßigen und effektiven Durchsetzung des Unionsrechts auf Grundlage der übertragenen Hoheitsrechte und Kompetenzen. ﻿Zum anderen﻿, um dem Effektivitätsgrundsatz Einhalt zu gebieten, wird ein Zusammenhang zwischen Normsetzung und Normverwirklichung gefordert. Danach darf die Normverwirklichung die rechtmäßigerweise erfolgte Normsetzung nicht konterkarieren."
Welche unterschiedlichen Grundkonzeptionen liegen dem Verwaltungsverfahren im Unionsrecht und im nationalen Recht zugrunde und welche Konsequenzen hat dies für die Klagbarkeit von Verfahrensfehlern?,"Im deutschen Recht kommt dem Verwaltungsverfahren rein dienende Funktion im Hinblick auf eine richtige Sachentscheidung zu. Ausdruck dieses Gedankens ist etwa § 46 VwVfG, nach dem Verfahrensfehler nur dann beachtlich sind, wenn sie Auswirkung auf die materielle Entscheidung hatten. Im Unionsrecht dagegen ist das Verfahren häufig der eigentliche Schutzzweck der Regelung (UVP bspw.), um der Verwaltung die richtige Sachentscheidung vor Augen zu führen.  Die Konsequenz ist, dass das deutsche System des Erfordernisses einer subjektiven Rechtsverletzung in diesen determinierten Bereichen überkommen ist, da ansonsten durch das Verfahrensrecht bzw. das Verwaltungsprozessrecht die Unbeachtlichkeit von Verfahrensfehlern die Verwirklichung unterbindet (etwa im Rahmen der Öffentlichkeitsbeteiligung; Klagerecht der betroffenen Öffentlichkeit)."
Welche Folge hat die zunehmende Subjektivierung im unionsrechtlich determinierten Bereich?,"Subjektivierung meint in diesem Kontext die Ausprägung subjektiver öffentlicher Rechte sowie die Begründung von Klagemöglichkeiten. Diese Phänomene in unionsrechtlich determinierten Teilbereichen dienen insbesondere der prokuratorischen Durchsetzung  (nach deutschem Verständnis) objektiven Unionsrechts durch den Einzelnen. ﻿Zweck ﻿ist es insbesondere die Möglichkeit der objektiven Rechtmäßigkeitskontrolle dort zu ermöglichen, wo nach deutschem Verfahrens- und Prozessrecht im Rahmen der Verwaltungsautonomie normalerweise eine subjektiv-rechtliche Kontrolle ausgeschlossen wäre. (funktionale Subjektivierung"")"""
Welche Rechtsschutzmodelle werden unterschieden und was haben sie gemeinsam?,"Im Unionsrecht ist die objektive Rechtmäßigkeitskontrolle zwar nicht maßgebend, wohl aber häufiger der Einstiegspunkt in den gerichtlichen Rechtsschutz als in Deutschland. Dies wird dadurch erreicht, dass die Zugangsvoraussetzungen zu den Gerichten erleichtert werden - ohne dabei aber eine Popularklage zu ermöglichen. Im deutschen Recht dagegen geht man nach der Schutznormtheorie von der strengen Subjektivierung des Rechtsschutzes aus, sodass alle Rechte durch die Gerichte geschützt werden, sofern eine Betroffenheit dargelegt wird.  ﻿Gemeinsam ﻿ist diesen Aspekten aber, dass die objektive Rechtmäßigkeitskontrolle jeweils notwendig ist. Nur wird sie bei dem einen System ausdrücklich verfolgt, während sie im anderen Fall mittelbar erfolgt - durch die Häufigkeit von Klage nach deutschem Recht wird über den Individualrechtsschutz hinaus auch ein hohes Niveau an objektiver Rechtskontrolle erzeugt. (﻿Doppelfunktionalität﻿)."
Warum ist die Etablierung von Verbandsklagen im deutschen Recht in manchen (determinierten) Rechtsbereichen von großer Bedeutung?,"Dies lässt sich damit erklären, dass die beschriebene Doppelfunktionalität der Klage, eben auch eine objektive Rechtmäßigkeitskontrolle neben dem (primären) Individualschutz zu erreichen, schlicht unmöglich ist. Wegen der häufig betroffenen Allgemeinwohlbelange (Umweltrecht, Verbraucherschutzrecht etc.), ist ein subjektives Recht nach deutschem Verständnis nicht gegeben. Ohne dieses ist jedoch auch eine subjektive Rechtsverletzung und damit eine Klage ausgeschlossen. Mithin kann mittelbar auch keine objektive Rechtmäßigkeitskontrolle erfolgen und es entsteht ein Rechtsschutzvakuum gerade in den Bereichen, die vornehmlich durch das Unionsrecht determiniert sind. Durch die Zuweisung der Klagerechte zu bestimmten Interessengruppen, wird auch hier eine Popularklage vermieden."
Wie lässt sich die Verbandsklage in das deutsche System der subjektiven Klagerechte einordnen?,"§ 42 Abs. 2 VwGO sieht die Möglichkeit einer abweichenden gesetzlichen Bestimmung vor. Wegen des Anwendungsvorrangs des Unionsrechts, füllen derartige Anordnungen die Norm aus - auch wenn sie in deutsches Recht umgesetzt wurden. Denn die Verbandsklage kann nicht als subjektives Recht verstanden werden, da sie überindividuelle Interessen verfolgt und nicht nur die individuelle Betroffenheit auf Gründe des Allgemeinwohls ausdehnt. (a.A. BVerwG NVwZ 2014, 64 (67 f.)) Kompensiert wird schlicht das Defizit objektiver Rechtskontrolle unionsrechtlich determinierter Rechtsbereiche, für die nach deutschem Recht keine Möglichkeit des Zugangs zu den Gerichten besteht."
Ist der Vollzug des Unionsrechts primär- oder sekundärrechtlich geregelt?,"Im Unionsrecht gibt es kein einheitliches Vollzugskonzept, wie es etwa in Deutschland durch das VwVfG geregelt ist. Es gibt ﻿keinen allgemeinen Teil﻿, der sämtliche Aspekte des Vollzugs des Unionsrechts umfassend normiert. Vielmehr sind einzelne Aspekte im Sekundärrecht ausgestaltet, die allerdings über verschiedene Regelungsmaterien verteilt sind (heterogene Regelungsstruktur)."
Gibt es dennoch etwaige gemeinsame Anforderungen an den Vollzug im Unionsrecht?,"Ja! Auch im Primärrecht gibt es einige wenige gemeinsame Anforderungen an den Vollzug des Unionsrechts. Diese sind zunächst geprägt durch das Demokratie- und Rechtsstaatsprinzip, sodass auch hier der Vorbehalt und Vorrang des Gesetzes zu beachten ist. In Art. 197 und 291 AEUV ist bspw. der Grundsatz der effektiven Durchführung des Unionsrechts durch die Mitgliedstaaten festgelegt. Hierbei handelt es sich um eine spezielle Ausformung des EffektivitätsgrundsatzesIn Art. 298 AEUV sind die Grundsätze der europäischen Eigenverwaltung niedergelegt, namentlich Offenheit, Effizienz und Unabhängigkeit Auch die EUGRCh enthält Maximen für das Verwaltungsverfahren, da etwa der Zugang zu Dokumenten sowie der Datenschutz umfassend geregelt istDer EuGH hat zudem weitere Maximen zur Durchführung des Unionsrechts aufgestellt. Dabei werden die Rechtsordnungen aller Mitgliedstaaten als Innovationspool genutzt "
Wie ist der Vollzug des Unionsrechts in seinen Grundzügen ausgestaltet?,"Das Unionsrecht - egal ob Primär- oder Sekundärrecht - wird grundsätzlich ﻿indirekt vollzogen﻿. Das heißt, dass die unionalen Rechtssätze durch die Mitgliedstaaten verwaltet und vollzogen werden. Dieses Prinzip ist etwa vergleichbar mit dem Grundsatz der Länderverwaltung nach den Art. 83 ff. GG. Nach Art. 291 AEUV sind die Länder dabei grds. zur effektiven Durchführung des Unionsrechts verpflichtet. Hieraus erklärt sich auch die Überformung des deutschen Verwaltungsrechts durch das Unionsrecht.Nur ausnahmsweise findet sich EU-Eigenverwaltung, da auf diese Weise auch die Verwaltungshoheit der Länder sichergestellt werden kann und der Subsidiaritätsgrundsatz aus Art. 5 Abs. 1 EUV gewahrt wird."
"Was meint der in Primärrecht (etwa Art. 291 AEUV) verwendete Begriff der Durchführung""?""","Durchführung des Unionsrechts ist umfassender zu verstehen als der bloße Vollzug. Hiervon erfasst wird nicht nur die administrativ-indirekte Umsetzung des Unionsrechts. Vielmehr ist auch die sog. normative Durchführung gemeint. Die normative Durchführung ist die abstrakt-generelle Regelung von Umsetzungsvorgaben primär durch die Kommission, die von allen Mitgliedstaaten zu beachten sind. Hierbei handelt es sich ﻿nicht ﻿um die inhaltliche Konkretisierung der Norm. Es geht allein um die Art und Weise der Durchführung. Dabei ist jedoch auch die mitgliedsstaatliche Beteiligung teilweise erforderlich, die sich durch sog. Komitologie-Ausschüsse ausdrückt."
Wie erfolgt der indirekte Vollzug durch die Mitgliedstaaten in der Regel?,"Der indirekte Vollzug ist dadurch gekennzeichnet, dass die Mitgliedstaaten und Wahrung ihrer Verwaltungshoheit Unionsrecht umsetzen. Sie sind dabei begrenzt durch die Rspr. des EuGH sowie die Grundsätze der Effektivität und Äquivalenz.Für den Vollzug sind primär analog Art. 83 ff. GG die Länder zuständig und nur ausnahmsweise bundeseigene Behörden. Sie haben dabei aus dem Grundsatz der Bundestreue i.V.m. Art. 23 Abs. 1 GG die Pflicht zur Durchführung. Diese indirekte Dogmatik bringt die Vorteile mit sich, dass nicht nur die Verwaltungshoheit sichergestellt ist, sondern zudem auch eine gewisse Bürgernähe entsteht.Einschränkungen erfährt der originär mitgliedsstaatliche Vollzug durch die Ergänzungen im Sekundärrecht (etwa aus einem Kompetenztitel zur Vereinheitlichung des Binnenmarktes). "
Was versteht man unter der horizontalen Zentralisierung im gefüge des indirekten Vollzugs?,Die horizontale Zentralisierung beschreibt im Rahmen des indirekten Vollzugs die Durchführung eines bestimmten unionsrechtlich determinierten Sachbereichs durch nur einen Mitgliedstaat. Diese Entscheidung entfaltet indes Wirkung ggü. und in allen anderen Mitgliedstaaten. Man spricht insoweit von einem Transnationalen Verwaltungsakt.Die Wirkung in den übrigen Mitgliedstaaten bedarf auch eines Geltungsgrundes. Dieser wird durch eine normative Grundlage geschaffen in Gestalt unionalen Verordnungsrechts oder auch nationaler Anerkennungsvorschriften (durch RL-Recht determiniert).
Wie ist der direkte Vollzug des Unionsrechts strukturiert?,"Der direkte Vollzug richtet sich grds. zunächst nach den allgemeinen Kompetenztiteln. Denn diese Unterscheiden nicht zwischen legislativem und administrativem Handeln. Hierbei sind jedoch gleichsam die in Art. 5 Abs. 1 EUV niedergelegten Grundsätze der Subsidiarität und Verhältnismäßigkeit zu wahren. Vorgaben zur Eigenverwaltung finden sich vornehmlich in Art. 298 AEUV, aber auch in sekundärrechtlichen Regelungen.Die Eigenverwaltung beruht institutionell auf drei Säulen: Nach Art. 17 Abs. 1 S. 5 EUV stellt die Kommission die zentrale Eigenverwaltungsbehörde darDaneben sind aber auch die Exekutivagenturen zur Eigenverwaltung berufen. Sie sind zur Durchführung von EU-Programmen zuständig, sind auf gewisse Zeit eingerichtet und unterliegen der Rechtsaufsicht der Kommission. Sie dürfen dabei weder eigenes politisches Ermessen ausüben noch Aufgaben wahrnehmen, die explizit anderen Organen zugewiesen sindSchließlich gibt es noch die sog. Regulierungsagenturen. Sie werden ohne zeitliche Begrenzung durch VO eingerichtet und können unterschiedliche Ausformungen aufweisen (Dienstleistung, Koordinierung, aber auch Entscheidungsbefugnisse)"
Was versteht man unter einem europäischen Verwaltungsverbund und warum bedarf es dieser Diktion?,"Der europäische Verwaltungsverbund beschreibt die multi- und supranationale Verflechtung der Verwaltungseinheiten zur Durchführung des Unionsrechts. Denn eine eindeutige Abgrenzung zwischen direktem, indirektem und isoliertem Vollzug ist nicht ohne weiteres möglich.Dies zeigt bspw. schon die Möglichkeit eines transnationalen Verwaltungsaktes.Auch sind Entscheidungen der mitgliedsstaatlichen Behörden unter Umständen abhängig von der Beteiligung anderer Mitgliedstaaten, denen etwaige Verfahrensrechte zustehen, die zu einem Devolutiveffekt führen und so eine Entscheidung der Kommission herbeiführen. Mithin ist die Durchführung des Unionsrechts im Mehrebenensystem an vielen Stellen eng verflochten, was den europäischen Verwaltungsverbund als Institution prägt."
Welche Nachteile ergeben sich aus dem europäischen Verwaltungsverbund und wie versucht man diese aufzufangen?,"In erster Linie führt dies zu einer erschwerten Wahrnehmung der Rechtsschutzgarantien. Denn durch verschiedene Einzelbeiträge mitgliedsstaatlicher Behörden, ist die Fehlerfindung i.d.R. schwierig und teilweise unumkehrbar. Zudem besteht die Gefahr, dass gegen Maßnahmen anderer Mitgliedstaaten überhaupt kein Rechtsweg nach nationalem Recht besteht bzw. auch nicht ersichtlich ist, in welchem Mitgliedstaat gegen welche Maßnahme um Rechtsschutz ersucht werden soll.Dem wird aber abgeholfen etwa durch transnationale Prozessstandschaften, sodass vor jedem mitgliedstaatlichen Gericht geklagt werden kann. Auch können verwaltungsinterne Rechtsbehelfe (Beschwerde) den Rechtsschutz erleichtern und u.U. auch den Devolutiveffekt zur Kommission auslösen."
Welche Probleme bereitet die transnationale Wirkung mitgliedsstaatlicher Typgenehmigungen und welche Lösungen können vorgesehen werden?,"Die transnationale Wirkung der Typengenehmigungen entfaltet gleich auf mehreren Ebenen nachteilige Folgen, da sie nach der unionalen in allen anderen Mitgliedstaaten anerkannt werden muss: Für die Mitgliedstaaten ergibt sich insbesondere das Problem der unterschiedlichen Standardisierung in den Mitgliedstaaten. Es besteht die Gefahr, dass - trotz der einheitlichen Vorgaben der VO - die technischen Prüfstellen nicht umfassend genug arbeiten oder diese nicht hinreichend überwacht werden Für die Hersteller der Fahrzeuge dagegen stellt sich das Problem, dass eine gewisse Rechtsunsicherheit erzeugt wird, da die Entscheidungen nur schwer vorherzusehen sind. Außerdem ist der Rechtsschutz gegen derartige Maßnahmen aufgrund der Multilateralität problematisch Es werden allerdings Lösungen angeboten, um diese Probleme abzufedern: Auf die Typgenehmigung folgt auch die Marktüberwachung durch die einzelnen Mitgliedstaaten, sodass hier selbständige Entscheidungen ggf. mit unionsweiter Geltung ergehen könnenDie Kommission veröffentlich eine Verwaltungspraxis Bereits im Verfahren der Typgenehmigung gibt es Widerspruchsmöglichkeiten der Mitgliedstaaten In den Bereinigungsverfahren der Kommission erfolgt eine Beteiligung von Experten aus den Mitgliedstaaten Gegen Durchführungsmaßnahmen der Kommission steht die Nichtigkeitsklage offen, da die Hersteller unmittelbar und individuell betroffen sindRechtsschutz vor den nationalen Gerichten gegen Maßnahmen der Marktüberwachungsbehörden "
Wie sind FRONTEX-Operationen im europäischen Verwaltungsverbund strukturiert und welche Probleme ergeben sich daraus?,"Nach der Neuerung der VO über die unabhängige europäische Agentur FRONTEX, handeln nun europäische Beamte (mit Zwangsbefugnissen), die aber nach wie vor unter der Einsatzkontrolle der jeweiligen mitgliedsstaatlichen Behörde steht.Maßgeblich für die Einsätze ist damit das Völker- und Unionsrecht sowie das nationale Recht des Einsatzstaates. Problematisch bleibt aber der (gerichtliche) Grundrechtsschutz durch die multilaterale Verantwortungsteilung: Grds. liegt die Verantwortung beim Einsatzstaat, sodass der Rechtsschutz vor den nationalen Gerichten zu ersuchen istEs gibt allerdings auch einen verwaltungsinternen Beschwerdeweg. Dieser ist aber auf Kritik gestoßen, da die Mitgliedstaaten ihre Kooperation verweigern können, sofern es sich um Personal des Mitgliedstaates handelt "
Kann eine Nichtigkeitsklage vor dem Gerichtshof gegen Maßnahmen von Frontex erhoben werden?,"Da bei FRONTEX-Einsätzen auch nach wie vor die Einsatzleitung und damit die Verantwortung bei dem Einsatzmitgliedstaat verbleibt, scheitert eine Nichtigkeitsklage i.d.R. daran.Art. 98 der FRONTEX-Änd.-VO sieht aber nun dennoch eine solche Klagemöglichkeit vor. Hierin könnte eine Modifizierung i.S.d. Art. 263 Abs. 5 AEUV zu sehen sein. Allerdings setzt auch Art. 263 AEUV eine Rechtswirkung von Handlungen der Einrichtung (hier FRONTEX) voraus, sodass die vertraglich bestimmte Verantwortungsteilung nicht modifiziert werden kann."
Welche Handlungsformen transnationalen Verwaltungshandeln können unterschieden werden?,"Man unterscheidet vor allem Handlungsformen mit internationalem Bezug, die sich zwischen verschiedenen Völkerrechtssubjekten abspielen. Dabei kommen transnationale Verwaltungsakte in Frage, die internationale Geltung erfahren (Genehmigungen bspw.). Daneben tritt auch die faktische Wirkung transnationalen Verwaltungshandelns. Denn so können normative Handlungen von Staaten ggü. dem Nachbarstaat faktische Wirkungen auslösen, die regulierende Funktionen erfordern. Abschließend ist aber auch das informelle Handeln entscheidend, dass sich durch nicht-bindende Standards oder auch gemeinsame Koordinierung Bahn bricht."
Welche Akteure können beim transnationalen Verwaltungshandeln unterschieden werden und wie handeln sie?,"Zuallererst sind die formellen Internationalen Organisationen zu nennen. Es handelt sich um durch die souveränen Staaten eingerichtete Institutionen und derivative Völkerrechtssubjekte (von den Staaten abgeleitet). Sie handeln einerseits durch politische/diplomatische Organe, aber auch durch einen eigenen Verwaltungsapparat. Sie handeln formell (VA-Charakter; regulierende Standards) sowie informell(Policy-/Informationshandeln; Realhandeln)Zwischenstaatliche Netzwerke sind i.d.R. Koordinierungsstellen mehrerer souveräner Staaten oder anderer Institutionen (Interpol bspw.)Dezentrale globale Verwaltung meint die Handlung nationaler Verwaltungsbehörden mit transnationaler oder globaler Reichweite Hybride Akteure und Netzwerke beschreiben die Einbeziehung Privater in öffentliche Projekte sowie die Entwicklung gemeinsamer Handlungsformen und Standards Private Akteure schließlich sind insbesondere die NGO's sowie Selbstregulierungszusammenschlüsse von Privaten "
Können die derzeitigen Regeln des Völkerrechts eine Systematisierung oder auch Verrechtlichung der globalen Akteure des Verwaltungshandelns erreichen?,"Nein! Das bestehende Völkerrecht in seiner normativen Ausprägung kennt alleine die formellen internationalen Organisationen und deren Handlungsformen. Die Gesamtheit des globalen Verwaltungshandelns kann daher nur unzureichend abgebildet werden. Gleichzeitig entwickeln auch die anderen Akteure überragende Relevanz und Macht, sodass Rechte von Individuen, Unternehmen und Staaten betroffen werden können, sodass nicht nur ein Interesse an einem globalen Verwaltungsrecht geschürt wird, sondern auch das Interesse der Staaten an einer Begrenzung und Kontrolle der von ihnen delegierten Macht. "
Kann die - auch in Deutschland - vorherrschende normative Vorstellung eines rechtmäßigen Verwaltungsverfahrens auch an das Handeln globaler Akteure angelegt werden?,"Dies ist zunächst nicht möglich. Die Akteure - insbesondere die Privaten oder Hybriden - handeln in aller Regel informell. Insofern fehlt oft ein normativer Anknüpfungspunkt für obligatorische Beteiligungsverfahren oder auch Ansatzpunkte für eine Kontrolle. Zudem kommt es häufig zu einer Diffusion der Verantwortung im Mehrebenensystem, was die Nachvollziehbarkeit, Transparenz aber auch den Rechtsschutz erheblich erschwert. Schließlich handeln die Akteure auch ohne konkrete Delegation von Hoheitsgewalt und es besteht mithin auch kein staatlicher regulatorische oder begrenzender Einfluss. "
Welche Lösungen bietet das Global Administrativ Law (GAL) an?,"Das GAL verfolgt den Zweck der rechtlichen Vereinheitlichung aller globalen Akteure und ihrer Handlungen. Dabei soll ein globales Verfahrensrecht entwickelt werden, dass auf der Grundlage gemeinsamer normativer Vorstellungen und Werte gründet.Dem liegt auch die Beobachtung zugrunde, dass die privaten Akteure bereits interne Statuten und Regeln erlassen haben, die nationalem Verfahrensrecht teilweise gleichen."
Welche Kontrollmechanismen liegen dem GAL zugrunde?,"Nach der Vorstellung des GAL müssten erstens die nationalen Gerichte in der Lage sein Handlungen aller global wirkenden Akteure zu überprüfen.Zudem können die souveränen Staaten vor einer Beteiligung innerhalb globaler Netzwerke Stakeholder einbeziehen, die ihre Position und die dahinterstehenden Konsequenzen glaubhaft machen. Auch können diese Staaten sowie ihre Behörden in den Netzwerken durch das Parlament kontrolliert werden. Es kann zudem eine verfahrensrechtliche Rechenschaftspflicht auf internationaler Ebene eingeführt werden.Schließlich soll auch eine obligatorische Öffentlichkeitsbeteiligung zivilgesellschaftlicher Akteure bei der Entscheidungsfindung erfolgen und die globalen Vorgaben durch nationale Durchführungsbehörden sichergestellt werden."
Was meint im Zusammenhang mit dem GAL die bottom-up- bzw. Top-down-Methode und welcher Kritik sehen sie sich ausgesetzt?,"Die normative Verankerung des GAL kann zum einen durch die bottom-up- und zum anderen durch die top-down-Methode erfolgen: Die bottom-up-Methode meint die Hochzonung von der Werkzeuge des nationalen Verwaltungsrechts auf die internationale Ebene. Allerdings genügt dieser Ansatz insbesondere nicht der dezentralen Verwaltung, da es an Grundlagen transnationaler Verwaltungsentscheidungen mangelt. Zudem ist nicht deutlich, gegenüber welcher Öffentlichkeit es wirkt. Außerdem fehlt die typische funktionale Struktur der nationalen Akteure, um eine Überformung zu erreichenDie ﻿top-down-Methode ﻿wiederum meint die Anwendung völkerrechtlicher Regelungen auf die Akteure des internationalen Verwaltungshandelns. Problematisch ist dabei insbesondere das informelle Handeln vieler Akteure sowie eine demokratische Rückbindung der rechtlichen Entscheidung an die betroffenen GruppenAlternative Methoden knüpfen an Marktmechanismen, peer-pressure sowie die Reputation der einzelnen Akteure an, um eine weitgehend faktische Kontrolle zu erreichen."
